sample_id,qualibact_tier,qualibact_species_sylph,qualibact_reasons,qualibact_N50,qualibact_contigs,qualibact_genome_size,qualibact_gc_content,qualibact_completeness_specific,qualibact_contamination,run_accession
SAMN42744424,PASS,Escherichia coli,none,224816.0,74.0,5003969.0,50.8715,100.0,0.08,SRR29922131
SAMN42744425,PASS,Escherichia coli,none,256567.0,72.0,5039191.0,50.8003,100.0,0.08,SRR29922130
SAMN42744426,PASS,Escherichia coli,none,215407.0,110.0,5174111.0,50.5292,100.0,1.0,SRR29922129
SAMN42744427,PASS,Escherichia coli,none,275546.0,105.0,5174798.0,50.5295,100.0,1.01,SRR29922128
SAMN42744428,PASS,Escherichia coli,none,170530.0,111.0,5182467.0,50.5121,100.0,1.0,SRR29922127
SAMN42744416,PASS,Escherichia coli,none,177018.0,141.0,4913024.0,50.8745,100.0,0.08,SRR29922140
SAMN42744418,PASS,Escherichia coli,none,279495.0,73.0,5042226.0,50.8042,100.0,0.08,SRR29922138
SAMN42744419,PASS,Escherichia coli,none,321759.0,73.0,5041131.0,50.8029,100.0,0.08,SRR29922137
SAMN42744420,PASS,Escherichia coli,none,200400.0,92.0,5036356.0,50.7932,100.0,0.09,SRR29922136
SAMN42744409,PASS,Escherichia coli,none,148441.0,136.0,4913181.0,50.8797,100.0,0.08,SRR29922148
SAMN42744413,PASS,Escherichia coli,none,176679.0,124.0,4916251.0,50.8795,100.0,0.08,SRR29922143
SAMN42744402,PASS,Escherichia coli,none,156429.0,147.0,4912070.0,50.8779,100.0,0.08,SRR29922155
SAMN42744385,PASS,Escherichia coli,none,341708.0,99.0,5088045.0,50.3879,100.0,0.79,SRR29922174
SAMN42744387,PASS,Escherichia coli,none,357673.0,96.0,5086683.0,50.3857,100.0,0.79,SRR29922172
SAMN42744389,PASS,Escherichia coli,none,193868.0,159.0,4947930.0,50.802,100.0,0.28,SRR29922170
SAMN42744391,PASS,Escherichia coli,none,189705.0,134.0,4949812.0,50.8086,100.0,0.32,SRR29922168
SAMN42744378,PASS,Escherichia coli,none,205135.0,152.0,5150646.0,50.7101,100.0,0.18,SRR29922097
SAMN42744379,PASS,Escherichia coli,none,190394.0,149.0,5148425.0,50.7078,100.0,0.19,SRR29922096
SAMN42744380,PASS,Escherichia coli,none,205135.0,141.0,5148364.0,50.7077,100.0,0.18,SRR29922095
SAMN42744381,PASS,Escherichia coli,none,205135.0,151.0,5151628.0,50.7091,100.0,0.18,SRR29922094
SAMN42744382,PASS,Escherichia coli,none,205135.0,144.0,5204115.0,50.679,100.0,0.16,SRR29922177
SAMN42744370,PASS,Escherichia coli,none,235154.0,85.0,4782832.0,50.8055,100.0,0.1,SRR29922106
SAMN42744371,PASS,Escherichia coli,none,139291.0,110.0,4770598.0,50.6164,100.0,0.12,SRR29922105
SAMN42744372,PASS,Escherichia coli,none,181024.0,102.0,4772475.0,50.6175,100.0,0.12,SRR29922103
SAMN42744374,PASS,Escherichia coli,none,242527.0,131.0,5351449.0,50.6761,100.0,0.43,SRR29922101
SAMN42744375,PASS,Escherichia coli,none,242527.0,130.0,5355393.0,50.6816,100.0,0.43,SRR29922100
SAMN42764706,WARN,Escherichia coli,no_of_contigs >600.0; Total_Coding_Sequences >5800.0,114262.0,665.0,5695351.0,50.4387,100.0,0.31,SRR29931310
SAMN42764709,WARN,Escherichia coli,no_of_contigs >600.0; Total_Coding_Sequences >5800.0,115086.0,660.0,5698775.0,50.4426,100.0,0.34,SRR29931318
SAMN42764698,WARN,Escherichia coli,Total_Coding_Sequences >5800.0; GC_Content <50.25,90639.0,532.0,5580317.0,50.2482,100.0,0.35,SRR29931321
SAMN42764693,WARN,Escherichia coli,no_of_contigs >600.0; Total_Coding_Sequences >5800.0,115095.0,601.0,5658541.0,50.4292,100.0,0.24,SRR29931275
SAMN42744414,WARN,Escherichia coli,GC_Content >50.88,208992.0,118.0,4914362.0,50.8834,100.0,0.08,SRR29922142
SAMN42744415,WARN,Escherichia coli,GC_Content >50.88,177018.0,131.0,4915240.0,50.8819,100.0,0.08,SRR29922141
SAMN42744406,WARN,Escherichia coli,GC_Content >50.88,184051.0,130.0,4909039.0,50.8809,100.0,0.08,SRR29922151
SAMN42744407,WARN,Escherichia coli,GC_Content >50.88,171258.0,134.0,4917645.0,50.8847,100.0,0.08,SRR29922150
SAMN42744408,WARN,Escherichia coli,GC_Content >50.88,199369.0,134.0,4916935.0,50.8844,100.0,0.08,SRR29922149
SAMN42744410,WARN,Escherichia coli,GC_Content >50.88,135476.0,153.0,4913981.0,50.8807,100.0,0.08,SRR29922147
SAMN42744411,WARN,Escherichia coli,GC_Content >50.88,176148.0,132.0,4915519.0,50.8814,100.0,0.08,SRR29922146
SAMN42744412,WARN,Escherichia coli,GC_Content >50.88,199589.0,129.0,4916427.0,50.8831,100.0,0.08,SRR29922144
SAMN42744400,WARN,Escherichia coli,GC_Content >50.88,198906.0,124.0,4916957.0,50.8861,100.0,0.08,SRR29922158
SAMN42744401,WARN,Escherichia coli,GC_Content >50.88,205587.0,110.0,4914991.0,50.8856,100.0,0.08,SRR29922157
SAMN42744403,WARN,Escherichia coli,GC_Content >50.88,177018.0,122.0,4918176.0,50.8848,100.0,0.08,SRR29922154
SAMN42744404,WARN,Escherichia coli,GC_Content >50.88,171258.0,145.0,4918730.0,50.8824,100.0,0.08,SRR29922153
SAMN42744405,WARN,Escherichia coli,GC_Content >50.88,196784.0,124.0,4919350.0,50.887,100.0,0.08,SRR29922152
SAMN42744393,WARN,Escherichia coli,GC_Content >50.88,185144.0,120.0,4912551.0,50.8811,100.0,0.08,SRR29922165
SAMN42744376,WARN,Escherichia coli,GC_Content >50.88,143834.0,143.0,4918804.0,50.8847,100.0,0.08,SRR29922099
SAMN42744383,WARN,Escherichia coli,GC_Content >50.88,197252.0,123.0,4917652.0,50.8821,100.0,0.08,SRR29922176
SAMN42765982,FAIL,Escherichia coli,no_of_contigs >670.0; Total_Coding_Sequences >5800.0; Genome_Size >5700000.0,126621.0,679.0,5738641.0,50.5585,100.0,0.4,SRR29931410
SAMN42764704,FAIL,Escherichia coli,no_of_contigs >670.0; Total_Coding_Sequences >5800.0; Genome_Size >5700000.0,107916.0,675.0,5700804.0,50.4458,100.0,0.33,SRR29931312
SAMN42744342,FAIL,Escherichia coli,no_of_contigs >600.0; Total_Coding_Sequences >5800.0; Genome_Size >5700000.0; GC_Content <50.09; Contamination >2.0,60447.0,646.0,6266653.0,49.9627,100.0,8.44,SRR29922045
SAMD00019007,FAIL,Escherichia coli,no_of_contigs >670.0; GC_Content >51.13; N50 <20000.0; Completeness <100.0,19828.0,1690.0,4736742.0,51.6102,99.99,0.01,DRR021768
SAMD00019005,FAIL,Escherichia coli,no_of_contigs >670.0; Genome_Size <4400000.0; GC_Content >50.88; N50 <20000.0; Completeness <100.0,9818.0,679.0,4323810.0,51.1176,99.94,1.1,DRR021766
SAMD00019012,FAIL,Escherichia coli,no_of_contigs >670.0; GC_Content >51.13,28751.0,1562.0,4764867.0,51.5922,100.0,0.62,DRR021773
SAMN42720371,FAIL,Escherichia coli,no_of_contigs >670.0; N50 <20000.0; Completeness <100.0,17054.0,765.0,4863879.0,50.5829,99.98,1.54,SRR29908397
SAMN42689957,FAIL,Escherichia coli,no_of_contigs >670.0,49669.0,706.0,5313156.0,50.3804,100.0,0.32,SRR29905373
SAMD00062394,FAIL,Escherichia coli,Total_Coding_Sequences >5800.0; Genome_Size >5700000.0; GC_Content <50.09,134229.0,270.0,5909818.0,50.0621,100.0,1.16,DRR075614
SAMD00071305,FAIL,Escherichia coli,Total_Coding_Sequences <4200.0; GC_Content >51.13,31006.0,327.0,4454198.0,51.1325,100.0,0.15,DRR084165
